EID Prefix,Reply Type,Received From,RLOC Addresses,RLOC Priorities,RLOC Weights,RLOC States,New Deployed Changed,Configuration Changed ,Statistical Changed,Recieved From Changed,Received From not RLOCs ,Received From RLOCs ,Received From Map Resolver ,Number of Timestamp,Total Number of Timestamp
0.0.0.0:3,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,23,23,299
128.0.0.0:6,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
132.0.0.0:9,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
132.128.0.0:10,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
132.192.0.0:11,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
132.224.0.0:15,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
132.226.0.0:16,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
132.227.0.0:18,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
132.227.112.0:21,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
132.227.120.0:28,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
132.227.120.128:30,LISP Reply,137.194.18.130,"['137.194.18.130', '2001:660:330f:a100::89c2:1282']","['10', '20']","['100', '100']","['Up', 'Up']",0,0,0,0,0,21,0,21,299
132.227.120.136:29,LISP Reply,137.194.18.130,"['137.194.18.130', '137.194.18.139']","['255', '10']","['100', '100']","['Up', 'Up']",0,0,0,0,0,21,0,21,299
132.227.120.168:30,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,9,9,299
132.227.120.172:30,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,9,9,299
132.227.120.176:28,LISP Reply,132.227.62.242,"['132.227.62.242', '2001:660:3302:282c:240::242']","['1', '2']","['100', '100']","['Up', 'Up']",0,0,0,0,0,21,0,21,299
132.227.121.0:24,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,17,17,299
132.227.122.0:23,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
132.227.124.0:22,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
132.227.128.0:17,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
132.227.64.0:19,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
132.227.96.0:20,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
132.228.0.0:14,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
132.232.0.0:13,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
132.240.0.0:12,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
133.0.0.0:8,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
134.0.0.0:7,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
136.0.0.0:5,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
144.0.0.0:7,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
146.0.0.0:8,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
147.0.0.0:10,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
147.128.0.0:9,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
147.64.0.0:12,Negative Reply,149.20.48.61,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
