EID Prefix,Reply Type,Received From,RLOC Addresses,RLOC Priorities,RLOC Weights,RLOC States,New Deployed Changed,Configuration Changed ,Statistical Changed,Recieved From Changed,Received From not RLOCs ,Received From RLOCs ,Received From Map Resolver ,Number of Timestamp,Total Number of Timestamp
0.0.0.0:3,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,227,227,299
128.0.0.0:6,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,102,102,299
132.0.0.0:9,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,48,48,299
132.128.0.0:10,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,59,59,299
132.192.0.0:11,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,31,31,299
132.224.0.0:15,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,31,31,299
132.226.0.0:16,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,35,35,299
132.227.0.0:18,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
132.227.112.0:21,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,15,15,299
132.227.120.128:30,LISP Reply,137.194.18.130,"['137.194.18.130', '2001:660:330f:a100::89c2:1282']","['10', '20']","['100', '100']","['Up', 'Up']",0,0,0,0,0,4,0,4,299
132.227.120.136:29,LISP Reply,137.194.18.130,"['137.194.18.130', '137.194.18.139']","['255', '10']","['100', '100']","['Up', 'Up']",0,0,0,0,0,4,0,4,299
132.227.120.176:28,LISP Reply,132.227.62.242,"['132.227.62.242', '2001:660:3302:282c:240::242']","['1', '2']","['100', '100']","['Up', 'Up']",0,0,0,0,0,2,0,2,299
132.227.121.0:24,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,5,5,299
132.227.122.0:23,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,10,10,299
132.227.124.0:22,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,10,10,299
132.227.128.0:17,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,16,16,299
132.227.64.0:19,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
132.227.96.0:20,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,13,13,299
132.228.0.0:14,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,17,17,299
132.232.0.0:13,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,17,17,299
132.240.0.0:12,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,22,22,299
133.0.0.0:8,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,69,69,299
134.0.0.0:7,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,74,74,299
136.0.0.0:5,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,94,94,299
144.0.0.0:7,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,53,53,299
146.0.0.0:8,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,26,26,299
147.0.0.0:10,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,26,26,299
147.128.0.0:9,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
147.64.0.0:12,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,21,21,299
147.80.0.0:15,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,15,15,299
147.82.0.0:16,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,13,13,299
147.83.0.0:17,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,15,15,299
147.83.128.0:23,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.130.0:24,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,4,4,299
147.83.131.0:25,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.131.128:26,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,6,6,299
147.83.131.192:27,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,6,6,299
147.83.131.226:32,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
147.83.131.227:32,Negative Reply,217.8.98.42,[],[],[],[],1,0,0,1,1,0,3,4,299
147.83.131.228:32,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,5,5,299
147.83.131.229:32,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,5,5,299
147.83.131.230:31,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.131.232:29,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.131.240:28,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.132.0:22,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.136.0:21,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.144.0:20,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
147.83.160.0:19,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0,0,0,8,8,299
